Time Since Start, Startboard, Stardboard ADC, Port, Port ADC, Front, Back, RPM ,,,,,
18.89295602,20.10358457,85,-11.20330497,25,0,0,1680,,,,,
18.92512178,19.08136841,82,-10.85320169,26,0,0,1620,,,,,
18.95701885,21.46653946,89,-11.55340826,24,0,0,1680,,,,,
18.98888588,22.1480169,91,-11.90351154,23,0,0,1560,,,,,
19.02095485,23.17023307,94,-11.20330497,25,-1,0,1620,,,,,
19.05313206,22.48875562,92,-11.90351154,23,0,0,1620,,,,,
19.08494043,21.12580074,88,-11.20330497,25,0,0,1620,,,,,
19.11703658,21.46653946,89,-10.85320169,26,-1,0,1620,,,,,
19.14903402,19.76284585,84,-11.20330497,25,0,0,1620,,,,,
19.18117356,20.78506201,87,-11.20330497,25,0,1,1680,,,,,
19.21280646,21.46653946,89,-11.20330497,25,0,0,1620,,,,,
