Time Since Start, Startboard, Port, Front, Back, RPM 
34.53552938,25,85,69,1,7740
34.56683064,25,83,91,1,7500
34.59808016,25,85,79,2,7740
34.6293323,25,82,72,1,7620
34.66058517,25,83,92,1,7740
34.69183874,26,84,71,1,7620
34.72309017,25,85,79,1,7620
34.75431943,26,83,91,1,7740
34.78557301,25,81,68,1,7620
34.83244467,26,84,86,1,7620
34.84810138,24,83,85,1,7620
34.89495707,25,84,69,2,7620
34.92621088,25,82,91,1,7740
34.95746207,25,84,79,1,7620
34.98868656,25,84,73,1,7620
35.01996541,25,84,93,1,7740
35.05124211,25,82,72,1,7740
35.08244634,25,81,81,0,7740
35.11369848,26,85,91,1,7620
35.14494848,25,82,67,1,7620
35.17620039,26,85,85,1,7620
35.2074523,25,81,85,1,7740
35.23870754,25,84,68,1,7740
35.26999497,25,83,91,1,7740
35.30126143,25,85,78,1,7740
35.33251452,25,82,72,1,7740
35.36376834,25,82,92,0,7620
35.39502001,25,84,71,2,7620
35.42627263,25,84,79,1,7620
35.45752501,26,83,91,1,7740
35.50438595,26,81,68,0,7620
35.53563261,26,85,86,1,7620
35.56685925,25,83,85,1,7620
35.59823513,25,85,68,2,7620
35.6295104,25,82,91,1,7740
35.66085839,25,84,79,1,7620
35.69208932,25,84,72,1,7500
35.72334743,27,84,92,0,7740
35.7546041,26,83,72,1,7740
35.78584409,25,82,79,0,7620
35.81712055,25,85,91,1,7620
35.84837341,26,83,68,1,7740
35.87962604,25,85,85,2,7620
35.91088033,25,82,85,0,7620
35.94213176,25,84,68,2,7500
35.97338414,25,84,89,1,7620
36.00461292,25,84,79,2,7620
36.03587484,25,83,71,1,7740
36.06714106,25,82,92,0,7620
36.09839439,25,84,73,1,7620
36.14523315,25,82,78,1,7620
36.16093826,24,85,91,2,7620
36.20782638,24,82,68,1,7620
36.23910332,25,83,85,1,7620
36.27032757,25,84,86,1,7620
36.30165577,25,85,67,1,7620
36.33295155,24,82,91,1,7500
36.36420345,25,81,79,0,7740
36.39545584,25,85,71,1,7620
36.42670918,26,83,91,1,7500
36.4579618,25,84,73,2,7620
36.48921442,25,81,78,0,7740
36.52046633,25,84,91,1,7620
36.5516758,25,84,69,2,7500
36.58297324,25,85,85,2,7740
36.61422396,25,82,86,1,7620
36.64547682,25,82,68,1,7620
36.6767292,25,85,91,2,7620
36.70798182,25,83,79,1,7620
36.73923397,25,83,70,1,7740
36.77046251,26,81,92,0,7500
36.81731582,25,84,73,2,7620
36.84857798,25,83,77,1,7740
36.87982845,25,85,91,2,7620
36.91107988,26,82,69,1,7620
36.94237614,25,82,84,0,7620
36.973629,25,85,86,1,7740
37.00486255,25,83,68,1,7740
37.03610945,25,84,90,1,7620
37.06738639,25,81,80,0,7740
37.09863806,25,85,71,1,7620
37.12989116,25,84,92,1,7620
37.16114426,25,85,72,2,7920
37.19239545,25,82,77,1,7620
37.22364902,26,83,92,0,7620
37.25488114,25,84,69,1,7620
37.28613329,25,83,85,1,7740
37.31740546,25,84,86,1,7620
37.34865832,25,81,68,0,7620
37.37991166,25,85,91,1,7620
37.41116309,25,84,81,1,7620
37.45799279,25,86,70,2,7740
37.48925614,25,82,91,1,7500
37.52050996,26,84,74,1,7620
37.55177808,25,84,77,2,7740
37.58305311,25,84,92,1,7620
37.61430526,25,83,68,1,7620
37.64555764,25,81,85,0,7620
37.67681217,25,84,87,1,7620
37.70806265,25,83,68,1,7620
37.73931575,26,85,90,1,7620
37.77052832,25,81,81,1,7380
37.80176973,25,84,70,1,7620
37.8330729,25,84,92,1,7740
37.86432528,26,84,75,1,7740
37.89557695,24,83,77,1,7740
37.92683196,25,82,92,1,7740
37.95808244,26,85,69,2,7500
37.9893353,25,83,84,1,7620
38.0205636,26,84,87,2,7620
38.05178976,25,82,68,1,7620
38.09867334,26,84,90,1,7620
38.12992549,25,84,81,2,7620
38.16120481,25,85,70,1,7620
38.19243574,25,83,91,0,7740
38.22372937,26,82,75,1,7620
38.25496411,25,85,76,2,7620
38.28621006,25,83,91,1,7620
38.31749177,25,85,68,1,7620
38.3487401,25,81,83,0,7620
38.37999225,25,84,87,1,7620
38.41124487,25,84,68,1,7620
38.44249749,25,86,89,1,7620
38.47374988,26,82,81,1,7620
38.50498509,25,83,70,1,7620
38.53623652,25,84,92,1,7620
38.567487,25,83,74,1,7620
38.59875989,25,84,78,2,7620
38.63001156,25,81,92,0,7620
38.66126466,25,84,69,1,7620
38.69251776,25,83,83,1,7620
38.72377014,25,85,87,2,7620
38.77059865,25,82,68,2,7500
38.80185509,25,83,89,1,7620
38.83311176,25,85,81,2,7620
38.86436129,27,83,70,1,7620
38.89565921,25,84,92,1,7620
38.9269104,25,81,74,1,7620
38.95816374,26,85,75,1,7620
38.98941612,25,84,92,1,7620
39.02064586,25,85,69,2,7620
39.05189729,25,82,82,0,7620
39.08317447,25,83,88,1,7740
39.11442661,25,85,68,2,7620
39.145679,25,84,89,1,7620
39.1769321,25,83,83,1,7620
39.20818424,25,81,69,1,7620
39.23943806,25,84,91,1,7500
39.27066994,26,84,74,1,7620
39.30191875,25,85,76,1,7620
39.33319473,25,81,92,1,7620
39.36444616,25,84,70,1,7620
39.41127586,25,84,81,1,7620
39.44253278,25,84,88,1,7620
39.47380853,25,82,69,1,7620
39.50506115,25,82,89,0,7620
39.53631163,25,85,82,1,7620
39.56756568,26,83,70,2,7620
39.59884191,26,85,92,1,7620
39.6300931,25,81,75,1,7740
39.66134548,25,84,75,1,7620
39.69259763,25,84,93,1,7620
39.72385192,25,85,70,1,7620
39.75510335,26,82,82,1,7740
39.78633308,27,81,89,1,7620
39.81758666,25,85,67,2,7620
39.84886169,25,83,88,1,7620
39.8801136,25,84,82,2,7620
39.9113667,25,81,69,0,7620
39.94261885,25,84,91,1,7620
39.97387171,25,83,75,1,7620
40.00512338,25,86,75,1,7620
40.05195236,25,82,92,1,7620
40.08323359,25,83,70,1,7620
40.11446595,25,84,81,1,7620
40.14571738,25,83,89,1,7740
40.17701268,26,83,68,1,7740
40.20826483,26,81,88,0,7620
40.23951864,25,85,82,2,7620
40.27074981,25,83,70,1,7620
40.30199862,24,85,92,1,7620
40.33327556,25,81,76,1,7620
40.36452794,25,85,75,1,7740
40.39578032,25,84,93,1,7620
40.42703366,25,84,70,1,7620
40.45828509,24,83,80,1,7500
40.48953843,25,82,87,1,7620
40.52079058,25,85,68,2,7620
40.55202246,25,83,88,0,7620
40.58329463,25,84,84,1,7740
40.61454797,26,82,68,1,7740
40.64580226,26,83,92,1,7620
40.69263983,24,84,76,1,7620
40.72390699,26,85,75,2,7620
